State,ANSI Code,Year,Total,Aged,Blind and Disabled,Under 18,18-64,65 or older,SSI recipients also receiving OASDI
Mississippi,28,2015,123207,8301,114906,22241,77981,22985,44432
Missouri,29,2015,140271,7023,133248,21755,99044,19472,47421
Montana,30,2015,18312,1288,17024,2455,12716,3141,6777
Nebraska,31,2015,27909,2217,25692,3986,19388,4535,9910
Nevada,32,2015,53440,12849,40591,10220,29454,13766,16126
New Hampshire,33,2015,19588,885,18703,2514,14935,2139,6515
New Jersey,34,2015,182247,36092,146155,25775,98093,58379,57886
New Mexico,35,2015,64175,8417,55758,9054,37814,17307,24609
New York,36,2015,648707,118445,530262,88025,333950,226732,198601
North Carolina,37,2015,235704,18181,217523,42969,149273,43462,81087
North Dakota,38,2015,8198,689,7509,1005,5610,1583,3141
Ohio,39,2015,312351,15419,296932,47678,219628,45045,89543
Oklahoma,40,2015,96921,6015,90906,17007,65203,14711,31849
Oregon,41,2015,86153,9199,76954,10745,57542,17866,27972
Pennsylvania,42,2015,368212,24025,344187,68796,233361,66055,104401
Rhode Island,44,2015,33114,3182,29932,4397,21544,7173,11099
South Carolina,45,2015,118080,8068,110012,19950,76431,21699,40475
South Dakota,46,2015,14834,1445,13389,2580,9196,3058,5094
Tennessee,47,2015,181992,11465,170527,23721,126281,31990,63291
Texas,48,2015,666218,104901,561317,145394,344460,176364,223523
Utah,49,2015,31365,2741,28624,5262,20858,5245,9069
Vermont,50,2015,15664,964,14700,1543,11564,2557,6659
Virginia,51,2015,156517,18191,138326,23723,98446,34348,50975
Washington,52,2015,151062,17110,133952,18053,98163,34846,42213
West Virginia,54,2015,76375,2444,73931,8092,56389,11894,24687
Wisconsin,55,2015,118556,6801,111755,22884,78550,17122,38819
Wyoming,56,2015,6697,310,6387,944,4886,867,2457
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2015,1033,151,882,285,539,209,214
Alabama,01,2016,167349,8616,158733,23967,115306,28076,60214
Alaska,02,2016,12449,1762,10687,1194,8081,3174,4241
Arizona,04,2016,119079,16709,102370,18342,70028,30709,38643
Arkansas,05,2016,108580,5183,103397,26385,67470,14725,36850
California,06,2016,1275744,359679,916065,108354,592467,574923,494699
Colorado,08,2016,72623,9851,62772,9233,45830,17560,23464
Connecticut,09,2016,64637,7014,57623,8483,40631,15523,20142
Delaware,10,2016,16905,1229,15676,3453,10663,2789,4928
District of Columbia,11,2016,26769,2072,24697,3949,17745,5075,6633
Florida,12,2016,575473,139616,435857,101512,271933,202028,183972
Georgia,13,2016,258698,24813,233885,44214,160607,53877,84006
Hawaii,15,2016,24224,5652,18572,1422,13846,8956,8796
Idaho,16,2016,30770,1808,28962,5249,21177,4344,10258
Illinois,17,2016,272102,30726,241376,37808,168721,65573,75717
Indiana,18,2016,128383,5474,122909,23282,90293,14808,38707
Iowa,19,2016,50942,3173,47769,7764,35716,7462,18027
Kansas,20,2016,48072,2907,45165,8991,31980,7101,15991
Kentucky,21,2016,180613,9339,171274,25840,122573,32200,61447
Louisiana,22,2016,177524,11555,165969,33333,112050,32141,57891
Maine,23,2016,37294,1738,35556,4001,27823,5470,14835
Maryland,24,2016,120710,15262,105448,19028,74588,27094,32025
Massachusetts,25,2016,186896,23237,163659,22246,114041,50609,56266
Michigan,26,2016,273999,18749,255250,37766,189165,47068,84027
Minnesota,27,2016,93856,11034,82822,12984,58708,22164,27031
Mississippi,28,2016,120647,8118,112529,20965,76618,23064,43726
Missouri,29,2016,138530,6956,131574,20543,98142,19845,46640
Montana,30,2016,18276,1333,16943,2369,12604,3303,6873
Nebraska,31,2016,27893,2257,25636,3882,19313,4698,9937
Nevada,32,2016,55549,13487,42062,10534,30464,14551,16677
New Hampshire,33,2016,19246,886,18360,2304,14739,2203,6384
New Jersey,34,2016,182022,36662,145360,24864,97468,59690,58186
New Mexico,35,2016,63596,8341,55255,8485,37639,17472,24505
New York,36,2016,644377,118476,525901,86778,328763,228836,200101
North Carolina,37,2016,233432,17855,215577,40459,149198,43775,79982
North Dakota,38,2016,8214,661,7553,1022,5620,1572,3090
Ohio,39,2016,310474,15746,294728,45467,218165,46842,88708
Oklahoma,40,2016,96315,5954,90361,16445,64874,14996,31614
Oregon,41,2016,87402,9382,78020,10725,58030,18647,28333
Pennsylvania,42,2016,363735,23973,339762,65183,231047,67505,103343
Rhode Island,44,2016,33215,3272,29943,4180,21585,7450,11279
South Carolina,45,2016,117325,7845,109480,19415,76070,21840,40051
South Dakota,46,2016,14725,1438,13287,2473,9180,3072,5042
Tennessee,47,2016,180145,11170,168975,22907,125127,32111,62248
Texas,48,2016,657899,104744,553155,137546,342024,178329,222637
Utah,49,2016,31368,2771,28597,5103,20882,5383,9129
Vermont,50,2016,15574,971,14603,1479,11485,2610,6555
Virginia,51,2016,156608,18072,138536,22782,99257,34569,50371
Washington,52,2016,150658,17400,133258,17227,97535,35896,42426
West Virginia,54,2016,74665,2381,72284,7912,54751,12002,24244
Wisconsin,55,2016,117813,6786,111027,22051,78240,17522,38370
