State,ANSI Code,Year,Total,Aged,Blind and Disabled,Under 18,18-64,65 or older,SSI recipients also receiving OASDI
Virginia,51,2018,155992,17643,138349,21963,98961,35068,49711
Washington,52,2018,149251,17488,131763,16424,94934,37893,42419
West Virginia,54,2018,72299,2324,69975,7425,52361,12513,23742
Wisconsin,55,2018,116810,6732,110078,20741,77492,18577,38293
Wyoming,56,2018,6889,344,6545,915,4936,1038,2578
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2018,1018,147,871,257,557,204,221
Alabama,01,2019,163878,17889,145989,28052,100653,35173,65869
Alaska,02,2019,11064,2151,8913,1124,6887,3053,3857
Arizona,04,2019,97934,13491,84443,17068,57357,23509,31952
Arkansas,05,2019,90968,9805,81163,18035,53674,19259,37638
California,06,2019,1209842,355809,854034,97775,589309,522759,466036
Colorado,08,2019,55532,8557,46975,6861,34773,13898,20214
Connecticut,09,2019,52260,6797,45463,6590,33123,12547,16190
Delaware,10,2019,13767,1339,12428,3173,8118,2476,4524
District of Columbia,11,2019,21108,1965,19143,4337,12578,4193,5202
Florida,12,2019,423209,98783,324426,79747,201566,141896,141209
Georgia,13,2019,203555,27470,176085,33572,118339,51644,77313
Hawaii,15,2019,22754,6545,16209,1546,12607,8601,7458
Idaho,16,2019,22261,1780,20481,4068,15030,3163,8038
Illinois,17,2019,258634,30392,228242,44415,156488,57731,63730
Indiana,18,2019,98614,5916,92698,20649,65572,12393,31936
Iowa,19,2019,43373,3606,39767,6874,29450,7049,17112
Kansas,20,2019,39162,3308,35854,7017,25659,6486,14146
Kentucky,21,2019,179955,14144,165811,26678,119349,33928,64183
Louisiana,22,2019,152698,17368,135330,27455,90936,34307,53652
Maine,23,2019,31990,2444,29546,3361,23261,5368,13881
Maryland,24,2019,94656,15288,79368,14692,55252,24712,26959
Massachusetts,25,2019,171137,44590,126547,17909,105504,47724,64125
Michigan,26,2019,222053,16854,205199,37491,148290,36272,68965
Minnesota,27,2019,72943,10014,62929,10543,45943,16457,23327
Mississippi,28,2019,124584,15142,109442,22482,71394,30708,51020
Missouri,29,2019,117760,9551,108209,19436,78257,20067,43552
Montana,30,2019,14793,1105,13688,1957,10417,2419,5787
Nebraska,31,2019,22331,2027,20304,3467,15005,3859,9042
Nevada,32,2019,33479,8603,24876,5903,18469,9107,10955
New Hampshire,33,2019,13689,881,12808,1806,10091,1792,5181
New Jersey,34,2019,152142,33531,118611,21944,79304,50894,48820
New Mexico,35,2019,53865,8608,45257,7180,30838,15847,21248
New York,36,2019,633473,134264,499209,71586,334805,227082,205330
North Carolina,37,2019,199337,25402,173935,36756,113974,48607,82413
North Dakota,38,2019,7907,977,6930,952,5143,1812,3574
Ohio,39,2019,250364,15249,235115,42501,171438,36425,71354
Oklahoma,40,2019,79743,8072,71671,13552,50478,15713,28701
Oregon,41,2019,60701,7793,52908,8012,39711,12978,21188
Pennsylvania,42,2019,317808,29645,288163,57851,199044,60913,94161
Rhode Island,44,2019,30164,3934,26230,4046,18878,7240,11544
South Carolina,45,2019,105553,12315,93238,18444,62163,24946,41843
South Dakota,46,2019,12542,1667,10875,1859,7621,3062,5217
Tennessee,47,2019,161322,16943,144379,22522,102994,35806,63212
Texas,48,2019,504082,110011,394071,86574,254666,162842,193161
Utah,49,2019,22606,2256,20350,4027,14647,3932,6931
Vermont,50,2019,13110,1118,11992,1614,9000,2496,6136
Virginia,51,2019,137662,20853,116809,22264,79961,35437,50239
Washington,52,2019,115692,14727,100965,14570,74614,26508,32251
West Virginia,54,2019,76820,4264,72556,8583,55994,12243,24785
Wisconsin,55,2019,92288,8488,83800,16536,59667,16085,32996
Wyoming,56,2019,5786,440,5346,826,4091,869,2274
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2019,747,123,624,203,381,163,192
Unknown,58,2019,182,42,139,13,107,61,82
Alabama,01,2020,174853,11619,163234,29984,115595,29274,63764
Alaska,02,2020,12719,1853,10866,1292,8385,3042,4318
Arizona,04,2020,112939,14704,98235,20867,65469,26603,35683
Arkansas,05,2020,109660,6503,103157,28700,65523,15437,38215
California,06,2020,1284629,358415,926214,115450,622147,547032,485043
Colorado,08,2020,68815,9110,59705,9132,44176,15507,23270
Connecticut,09,2020,59784,6570,53214,8274,37889,13621,18423
Delaware,10,2020,16240,1266,14974,3639,10035,2566,4937
District of Columbia,11,2020,25633,1904,23729,4446,16958,4229,5989
Florida,12,2020,506458,113031,393427,97471,245422,163565,163842
Georgia,13,2020,238903,24769,214134,43522,145357,50024,80094
Hawaii,15,2020,25356,5977,19379,1753,15043,8560,8318
Idaho,16,2020,28213,1864,26349,5397,19015,3801,9716
Illinois,17,2020,276258,30385,245873,44688,170989,60581,72453
Indiana,18,2020,122130,5503,116627,25995,83104,13031,37176
Iowa,19,2020,48927,3205,45722,8056,33983,6888,18131
Kansas,20,2020,47336,3111,44225,9137,31439,6760,16144
Kentucky,21,2020,192721,10588,182133,29922,130739,32060,65840
Louisiana,22,2020,178806,13493,165313,36531,110318,31957,57276
Maine,23,2020,36259,1957,34302,4010,26910,5339,15069
Maryland,24,2020,111494,14942,96552,17660,68857,24977,30414
Massachusetts,25,2020,197327,47866,149461,23938,122107,51282,69564
Michigan,26,2020,264706,16703,248003,42370,183112,39224,82119
Minnesota,27,2020,88768,10330,78438,13096,56778,18894,27139
Mississippi,28,2020,126223,10402,115821,24136,77157,24930,46757
Missouri,29,2020,137167,7678,129489,23405,94784,18978,46847
Montana,30,2020,18196,1268,16928,2568,12785,2843,6696
Nebraska,31,2020,26501,2017,24484,4174,18291,4036,9665
Nevada,32,2020,44064,10598,33466,8432,24333,11299,13750
New Hampshire,33,2020,18695,902,17793,2479,14184,2032,6545
New Jersey,34,2020,173000,34516,138484,25533,93171,54296,54320
New Mexico,35,2020,61806,8542,53264,9221,35965,16620,23485
New York,36,2020,689019,130354,558665,85549,367198,236272,231557
North Carolina,37,2020,224962,20192,204770,42740,138172,44050,81576
North Dakota,38,2020,8349,732,7617,1069,5710,1570,3381
Ohio,39,2020,295042,14713,280329,49346,206007,39689,85112
Oklahoma,40,2020,95644,6489,89155,18260,62846,14538,31391
Oregon,41,2020,78143,8804,69339,10272,52169,15702,25815
Pennsylvania,42,2020,367586,25292,342294,72886,232659,62041,104151
Rhode Island,44,2020,32218,3263,28955,4725,20737,6756,10833
South Carolina,45,2020,114974,9307,105667,20737,72155,22082,40402
South Dakota,46,2020,14151,1481,12670,2489,8688,2974,5144
Tennessee,47,2020,179325,13213,166112,25339,121844,32142,64093
Texas,48,2020,640422,107086,533336,137621,332522,170279,219700
Utah,49,2020,29447,2588,26859,5475,19298,4674,8829
Vermont,50,2020,15652,1036,14616,1900,11260,2492,6887
Virginia,51,2020,151013,18846,132167,24049,93004,33960,50976
Washington,52,2020,142932,16506,126426,17728,93806,31398,39681
West Virginia,54,2020,80796,2988,77808,9132,60031,11633,25744
Wisconsin,55,2020,110959,7153,103806,21205,73647,16107,37345
Wyoming,56,2020,6531,334,6197,978,4743,810,2445
Outlying areas,,,,,,,,,
Northern Mariana Islands,57,2020,1022,138,884,344,494,184,195
Alabama,01,2021,161635,8087,153548,21490,111313,28832,58686
Alaska,02,2021,12537,1748,10789,1172,8019,3346,4280
Arizona,04,2021,118707,17397,101310,16984,69277,32446,39449
Arkansas,05,2021,105213,4859,100354,24597,65735,14881,35347
California,06,2021,1238456,355425,883031,100529,556495,581432,494155
Colorado,08,2021,73012,10708,62304,8665,45206,19141,23993
Connecticut,09,2021,66442,7257,59185,8447,41460,16535,20828
Delaware,10,2021,17047,1290,15757,3322,10746,2979,4888
District of Columbia,11,2021,25755,2106,23649,3755,16530,5470,6833
Florida,12,2021,576375,144331,432044,97871,266487,212017,187724
Georgia,13,2021,259434,25535,233899,42569,159608,57257,85481
Hawaii,15,2021,23155,5465,17690,1259,12825,9071,8751
Idaho,16,2021,30870,1780,29090,5006,21241,4623,10206
Illinois,17,2021,267026,30925,236101,35539,163430,68057,76321
Indiana,18,2021,127408,5843,121565,21876,88991,16541,38917
Iowa,19,2021,51142,3181,47961,8007,35284,7851,17705
Kansas,20,2021,47735,2934,44801,8484,31840,7411,15849
Kentucky,21,2021,174213,9253,164960,24552,116912,32749,59178
Louisiana,22,2021,175204,11217,163987,32268,109451,33485,57561
Maine,23,2021,36860,1741,35119,3878,27168,5814,14398
Maryland,24,2021,121059,15360,105699,18870,74066,28123,32666
Massachusetts,25,2021,184020,24535,159485,21199,109066,53755,55302
Michigan,26,2021,271833,19466,252367,35563,185051,51219,83946
Minnesota,27,2021,93517,11102,82415,12557,57695,23265,26885
Mississippi,28,2021,117083,7771,109312,19132,74582,23369,42861
Missouri,29,2021,136338,6942,129396,19588,95744,21006,45913
Montana,30,2021,17891,1423,16468,2189,12196,3506,6838
Nebraska,31,2021,28281,2340,25941,3775,19438,5068,9944
Nevada,32,2021,56578,14371,42207,9706,31175,15697,17572
New Hampshire,33,2021,18548,857,17691,2153,14106,2289,6004
New Jersey,34,2021,179808,37049,142759,24207,94300,61301,58069
New Mexico,35,2021,62877,8269,54608,7859,37166,17852,24412
New York,36,2021,628644,117199,511445,82221,314797,231626,200162
North Carolina,37,2021,228906,17363,211543,36234,147854,44818,78832
North Dakota,38,2021,8389,659,7730,1119,5706,1564,3067
Ohio,39,2021,308349,16641,291708,43511,213488,51350,88102
Oklahoma,40,2021,96201,6089,90112,15414,64997,15790,31616
Oregon,41,2021,88233,9625,78608,10307,57741,20185,28934
Pennsylvania,42,2021,355814,24559,331255,60928,223303,71583,102253
Rhode Island,44,2021,32936,3371,29565,3831,21244,7861,11220
South Carolina,45,2021,115194,7726,107468,17814,74700,22680,39372
South Dakota,46,2021,14642,1483,13159,2340,9140,3162,4996
Tennessee,47,2021,176395,10976,165419,22022,121408,32965,60696
Texas,48,2021,649912,104373,545539,131121,336034,182757,222760
Utah,49,2021,31529,2856,28673,5003,20828,5698,9135
Vermont,50,2021,15190,922,14268,1380,11150,2660,6247
Virginia,51,2021,155992,17643,138349,21963,98961,35068,49711
Washington,52,2021,149251,17488,131763,16424,94934,37893,42419
West Virginia,54,2021,72299,2324,69975,7425,52361,12513,23742
Wisconsin,55,2021,116810,6732,110078,20741,77492,18577,38293
Wyoming,56,2021,6889,344,6545,915,4936,1038,2578
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2021,1018,147,871,257,557,204,221
Alabama,01,2022,165400,15565,149835,29084,103548,32768,64195
Alaska,02,2022,11477,2058,9419,1207,7242,3028,3972
Arizona,04,2022,100996,13619,87377,18485,58263,24248,32488
Arkansas,05,2022,95636,8510,87126,21068,56803,17765,37551
California,06,2022,1245362,364978,880384,102011,601744,541607,489556
Colorado,08,2022,58581,8771,49810,7509,36680,14392,21022
Connecticut,09,2022,54265,6714,47551,7101,34289,12875,16919
Delaware,10,2022,14480,1289,13191,3451,8555,2474,4558
District of Columbia,11,2022,21968,1925,20043,4463,13334,4171,5414
Florida,12,2022,431756,99499,332257,82455,205086,144215,143554
Georgia,13,2022,208247,26136,182111,36316,121421,50510,76494
Hawaii,15,2022,23328,6345,16983,1609,13186,8533,7696
Idaho,16,2022,23732,1829,21903,4442,15913,3377,8418
Illinois,17,2022,261954,30468,231486,45024,158219,58711,66780
Indiana,18,2022,104489,5693,98796,22789,69239,12461,33344
Iowa,19,2022,44666,3407,41259,7493,30238,6935,17348
Kansas,20,2022,40400,3209,37191,7684,26245,6471,14476
Kentucky,21,2022,184151,12687,171464,29050,121965,33136,64957
Louisiana,22,2022,162762,16264,146498,31667,97246,33849,55600
Maine,23,2022,33338,2226,31112,3722,24381,5235,14239
Maryland,24,2022,98039,15168,82871,15844,57438,24757,27634
Massachusetts,25,2022,178580,45168,133412,20198,109847,48535,65590
Michigan,26,2022,227950,16415,211535,38978,152184,36788,72231
Minnesota,27,2022,78412,10362,68050,12020,48963,17429,24589
Mississippi,28,2022,122690,13220,109470,22961,71252,28477,48781
Missouri,29,2022,121878,8841,113037,20954,81421,19503,44213
Montana,30,2022,15629,1091,14538,2247,10880,2502,6002
Nebraska,31,2022,23020,2029,20991,3700,15395,3925,9088
Nevada,32,2022,35874,9117,26757,6608,19539,9727,11532
New Hampshire,33,2022,15150,835,14315,2086,11236,1828,5588
New Jersey,34,2022,156184,33848,122336,23162,81012,52010,49863
New Mexico,35,2022,56427,8430,47997,8092,32411,15924,21885
New York,36,2022,647513,135095,512418,75250,339576,232687,214634
North Carolina,37,2022,205664,23364,182300,39924,119131,46609,81298
North Dakota,38,2022,8001,896,7105,1049,5241,1711,3530
Ohio,39,2022,257915,15083,242832,44859,175657,37399,74193
Oklahoma,40,2022,85229,7431,77798,15428,54624,15177,29736
Oregon,41,2022,64183,8023,56160,8624,41913,13646,22197
Pennsylvania,42,2022,333838,27834,306004,64377,208600,60861,97245
Rhode Island,44,2022,31096,3907,27189,4207,19547,7342,11958
South Carolina,45,2022,105688,11223,94465,19188,62812,23688,40860
South Dakota,46,2022,12960,1569,11391,2151,7807,3002,5163
Tennessee,47,2022,163270,15249,148021,23671,105618,33981,61968
Texas,48,2022,544796,108092,436704,105126,275695,163975,200729
Utah,49,2022,24486,2356,22130,4609,15722,4155,7475
Vermont,50,2022,13881,1090,12791,1740,9665,2476,6355
Virginia,51,2022,140678,20011,120667,23323,82629,34726,49861
Washington,52,2022,121667,15250,106417,15720,77872,28075,34086
West Virginia,54,2022,78962,3819,75143,9219,57768,11975,25351
Wisconsin,55,2022,96101,7961,88140,17958,62254,15889,33885
Wyoming,56,2022,5823,385,5438,849,4140,834,2277
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2022,825,129,696,250,407,168,192
Unknown,58,2022,128,29,99,15,67,46,67
Alabama,01,2023,174853,11619,163234,29984,115595,29274,63764
Alaska,02,2023,12719,1853,10866,1292,8385,3042,4318
Arizona,04,2023,112939,14704,98235,20867,65469,26603,35683
Arkansas,05,2023,109660,6503,103157,28700,65523,15437,38215
California,06,2023,1284629,358415,926214,115450,622147,547032,485043
Colorado,08,2023,68815,9110,59705,9132,44176,15507,23270
Connecticut,09,2023,59784,6570,53214,8274,37889,13621,18423
Delaware,10,2023,16240,1266,14974,3639,10035,2566,4937
District of Columbia,11,2023,25633,1904,23729,4446,16958,4229,5989
Florida,12,2023,506458,113031,393427,97471,245422,163565,163842
Georgia,13,2023,238903,24769,214134,43522,145357,50024,80094
Hawaii,15,2023,25356,5977,19379,1753,15043,8560,8318
Idaho,16,2023,28213,1864,26349,5397,19015,3801,9716
Illinois,17,2023,276258,30385,245873,44688,170989,60581,72453
Indiana,18,2023,122130,5503,116627,25995,83104,13031,37176
Iowa,19,2023,48927,3205,45722,8056,33983,6888,18131
Kansas,20,2023,47336,3111,44225,9137,31439,6760,16144
Kentucky,21,2023,192721,10588,182133,29922,130739,32060,65840
Louisiana,22,2023,178806,13493,165313,36531,110318,31957,57276
Maine,23,2023,36259,1957,34302,4010,26910,5339,15069
Maryland,24,2023,111494,14942,96552,17660,68857,24977,30414
Massachusetts,25,2023,197327,47866,149461,23938,122107,51282,69564
Michigan,26,2023,264706,16703,248003,42370,183112,39224,82119
Minnesota,27,2023,88768,10330,78438,13096,56778,18894,27139
Mississippi,28,2023,126223,10402,115821,24136,77157,24930,46757
Missouri,29,2023,137167,7678,129489,23405,94784,18978,46847
Montana,30,2023,18196,1268,16928,2568,12785,2843,6696
Nebraska,31,2023,26501,2017,24484,4174,18291,4036,9665
Nevada,32,2023,44064,10598,33466,8432,24333,11299,13750
New Hampshire,33,2023,18695,902,17793,2479,14184,2032,6545
New Jersey,34,2023,173000,34516,138484,25533,93171,54296,54320
New Mexico,35,2023,61806,\,53264,9221,35965,16620,23485
New York,36,2023,689019,130354,558665,85549,367198,236272,231557
North Carolina,37,2023,224962,20192,204770,42740,138172,44050,81576
North Dakota,38,2023,8349,732,7617,1069,5710,1570,3381
Ohio,39,2023,295042,14713,280329,49346,206007,39689,85112
Oklahoma,40,2023,95644,6489,89155,18260,62846,14538,31391
Oregon,41,2023,78143,8804,69339,10272,52169,15702,25815
Pennsylvania,42,2023,367586,25292,342294,72886,232659,62041,104151
Rhode Island,44,2023,32218,3263,28955,4725,20737,6756,10833
South Carolina,45,2023,114974,9307,105667,20737,72155,22082,40402
South Dakota,46,2023,14151,1481,12670,2489,8688,2974,5144
Tennessee,47,2023,179325,13213,166112,25339,121844,32142,64093
Texas,48,2023,640422,107086,533336,137621,332522,170279,219700
Utah,49,2023,29447,2588,26859,5475,19298,4674,8829
Vermont,50,2023,15652,1036,14616,1900,11260,2492,6887
Virginia,51,2023,151013,18846,132167,24049,93004,33960,50976
Washington,52,2023,142932,16506,126426,17728,93806,31398,39681
West Virginia,54,2023,80796,2988,77808,9132,60031,11633,25744
Wisconsin,55,2023,110959,7153,103806,21205,73647,16107,37345
Wyoming,56,2023,6531,334,6197,978,4743,810,2445
Outlying areas,,,,,,,,,
Northern Mariana Islands,57,2023,1022,138,884,344,494,184,195
Alabama,01,2024,140811,7680,133131,18261,90202,32348,51045
Alaska,02,2024,10347,1542,8805,775,6328,3244,3871
Arizona,04,2024,112444,18652,93792,15255,60903,36286,37994
Arkansas,05,2024,95908,4454,91454,22099,57341,16468,30824
California,06,2024,1114179,347537,766642,84072,440145,589962,468593
Colorado,08,2024,67591,12148,55443,7036,38005,22550,23580
Connecticut,09,2024,65896,8142,57754,8875,37242,19779,20695
Delaware,10,2024,16453,1529,14924,3093,9592,3768,4672
District of Columbia,11,2024,23097,2541,20556,3333,12474,7290,6812
Florida,12,2024,541354,158577,382777,80827,220857,239670,182029
Georgia,13,2024,243013,28645,214368,42089,133324,67600,81730
Hawaii,15,2024,20864,5141,15723,1133,10433,9298,8515
Idaho,16,2024,27833,1722,26111,3647,18902,5284,9279
Illinois,17,2024,242412,31863,210549,32663,134399,75350,72181
Indiana,18,2024,121013,6950,114063,19502,79366,22145,36732
Iowa,19,2024,49049,3065,45984,7902,32084,9063,16662
Kansas,20,2024,44522,3011,41511,7462,28389,8671,14730
Kentucky,21,2024,153016,8984,144032,22256,95810,34950,50495
Louisiana,22,2024,155494,10570,144924,27415,90034,38045,51002
Maine,23,2024,32234,1733,30501,3033,22549,6652,12480
Maryland,24,2024,114248,16350,97898,17253,64131,32864,31140
Massachusetts,25,2024,163417,26781,136636,17981,85750,59686,49364
Michigan,26,2024,248803,21509,227294,32933,151850,64020,78875
Minnesota,27,2024,89904,12337,77567,10257,51944,27703,25766
Mississippi,28,2024,104508,6875,97633,16293,63100,25115,38468
Missouri,29,2024,127216,7144,120072,18790,82876,25550,43279
Montana,30,2024,15697,1653,14044,1625,9763,4309,6072
Nebraska,31,2024,28077,2552,25525,4106,17890,6081,9757
Nevada,32,2024,53300,16399,36901,8095,27433,17772,17048
New Hampshire,33,2024,15755,871,14884,1646,11478,2631,5287
New Jersey,34,2024,164398,35857,128541,23570,77925,62903,53145
New Mexico,35,2024,55120,7127,47993,6879,30994,17247,20941
New York,36,2024,559604,113359,446245,69745,255733,234126,187565
North Carolina,37,2024,217169,17835,199334,34172,132367,50630,74680
North Dakota,38,2024,8066,610,7456,1154,5208,1704,2897
Ohio,39,2024,289676,19222,270454,42510,180335,66831,86221
Oklahoma,40,2024,92644,6145,86499,13921,60151,18572,30342
Oregon,41,2024,81477,9584,71893,8055,50204,23218,27749
Pennsylvania,42,2024,326614,27914,298700,53156,186466,86992,94054
Rhode Island,44,2024,30358,3357,27001,3452,18046,8860,10446
South Carolina,45,2024,104129,8326,95803,15428,62506,26195,36906
South Dakota,46,2024,13884,1663,12221,2013,8247,3624,4593
Tennessee,47,2024,160102,10570,149532,23284,100689,36129,54446
Texas,48,2024,576630,100912,475718,101147,287181,188302,199424
Utah,49,2024,30083,2925,27158,3795,19852,6436,9134
Vermont,50,2024,13498,840,12658,1157,9368,2973,5400
Virginia,51,2024,148815,18283,130532,21144,88523,39148,46562
Washington,52,2024,134711,19257,115454,12987,78394,43330,40155
West Virginia,54,2024,62385,2414,59971,6091,42299,13995,20469
Wisconsin,55,2024,108271,6931,101340,18540,67469,22262,36048
Wyoming,56,2024,6667,362,6305,738,4742,1187,2503
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2024,1100,210,890,242,573,285,245
