State,ANSI Code,Year,Total,Aged,Blind and DIsabled,Under 18,18-64,65 or older
New Hampshire,33,2015,10477,341,10136,1525,8164,789
New Jersey,34,2015,101646,15333,86312,17319,59297,25030
New Mexico,35,2015,34726,2613,32113,6064,22599,6064
New York,36,2015,360190,49740,310450,59499,198857,101834
North Carolina,37,2015,129054,5129,123925,28272,86816,13966
North Dakota,38,2015,4175,277,3898,605,2975,595
Ohio,39,2015,180667,5959,174707,32351,129962,18354
Oklahoma,40,2015,53956,1726,52231,11273,37866,4817
Oregon,41,2015,48614,3597,45017,7125,34379,7110
Pennsylvania,42,2015,213611,9555,204056,46077,138946,28587
Rhode Island,44,2015,18189,1193,16997,2960,12332,2897
South Carolina,45,2015,64543,2169,62375,13054,44417,7072
South Dakota,46,2015,7764,507,7257,1652,5011,1101
Tennessee,47,2015,102216,3269,98947,15769,75695,10752
Texas,48,2015,350489,35345,315144,94677,194758,61054
Utah,49,2015,17571,1147,16424,3247,12137,2186
Vermont,50,2015,8503,330,8173,1056,6539,909
Virginia,51,2015,85973,7151,78822,15493,57079,13401
Washington,52,2015,87826,8074,79751,11671,59821,16333
West Virginia,54,2015,42007,662,41344,5383,32418,4206
Wisconsin,55,2015,66241,2309,63932,15183,44537,6521
Wyoming,56,2015,3485,78,3407,600,2623,261
Outlying area,,,,,,,,
Northern Mariana Islands,57,2015,660,69,591,200,363,97
Alabama,01,2016,92155,2277,89878,16218,66850,9086
Alaska,02,2016,6689,593,6096,756,4744,1189
Arizona,04,2016,67891,6539,61351,12584,42896,12411
Arkansas,05,2016,60703,1235,59468,18018,38358,4327
California,06,2016,812044,186680,625364,80776,421300,309968
Colorado,08,2016,40355,4148,36208,5974,27182,7199
Connecticut,09,2016,37035,2867,34168,5897,24548,6590
Delaware,10,2016,9749,472,9278,2260,6398,1091
District of Columbia,11,2016,16793,860,15934,2800,11751,2242
Florida,12,2016,321741,62719,259022,68896,163381,89464
Georgia,13,2016,147173,8047,139126,30363,98139,18670
Hawaii,15,2016,14107,2445,11662,924,9020,4164
Idaho,16,2016,16840,596,16244,3384,11924,1532
Illinois,17,2016,157607,13068,144539,26174,102430,29004
Indiana,18,2016,74636,1878,72758,15967,53314,5355
Iowa,19,2016,27793,1008,26785,5135,20067,2591
Kansas,20,2016,26728,1017,25711,6096,18045,2587
Kentucky,21,2016,99376,2645,96731,17760,70485,11131
Louisiana,22,2016,98799,3239,95559,23125,64838,10835
Maine,23,2016,20348,492,19856,2641,15920,1787
Maryland,24,2016,72790,6584,66206,12913,48151,11726
Massachusetts,25,2016,103153,10256,92897,14582,65896,22675
Michigan,26,2016,161713,8039,153674,26331,115072,20309
Minnesota,27,2016,54282,5303,48979,8548,34853,10880
Mississippi,28,2016,65022,1870,63151,14235,43751,7035
Missouri,29,2016,76468,2299,74168,13949,55528,6990
Montana,30,2016,10063,397,9666,1646,7306,1112
Nebraska,31,2016,15027,827,14200,2529,10787,1712
Nevada,32,2016,32343,5728,26614,7216,18967,6160
New Hampshire,33,2016,10446,342,10104,1462,8174,811
New Jersey,34,2016,101246,15479,85767,16939,58832,25476
New Mexico,35,2016,35244,2612,32632,5928,23134,6182
New York,36,2016,359869,49596,310273,59063,198063,102743
North Carolina,37,2016,130416,5166,125249,27307,88822,14286
North Dakota,38,2016,4205,255,3950,639,2987,579
Ohio,39,2016,180318,6159,174159,31323,129791,19204
Oklahoma,40,2016,54189,1717,52471,11099,38181,4908
Oregon,41,2016,49990,3690,46300,7112,35408,7470
Pennsylvania,42,2016,213726,9582,204145,44970,139351,29405
Rhode Island,44,2016,18488,1232,17256,2847,12634,3007
South Carolina,45,2016,65411,2158,63253,12967,45226,7219
South Dakota,46,2016,7806,520,7287,1539,5145,1123
Tennessee,47,2016,102724,3263,99461,15566,76213,10945
Texas,48,2016,351302,35577,315724,91828,197297,62177
Utah,49,2016,17962,1175,16787,3288,12420,2253
Vermont,50,2016,8559,351,8208,1028,6570,961
Virginia,51,2016,87799,7167,80632,15341,58866,13591
Washington,52,2016,88293,8221,80073,11425,60023,16846
West Virginia,54,2016,41603,653,40950,5299,31995,4310
Wisconsin,55,2016,66989,2329,64660,15041,45197,6751
Wyoming,56,2016,3626,78,3548,562,2792,272
Outlying area,,,,,,,,
Northern Mariana Islands,57,2016,631,67,564,196,341,94
Alabama,01,2017,91442,2233,89210,15495,66599,9348
Alaska,02,2017,6711,567,6144,742,4778,1190
Arizona,04,2017,68235,6706,61529,12129,43307,12798
Arkansas,05,2017,60330,1214,59116,17468,38417,4446
California,06,2017,808566,187304,621262,78252,415245,315070
Colorado,08,2017,41183,4318,36865,5926,27723,7534
Connecticut,09,2017,37880,2941,34939,5784,25228,6868
Delaware,10,2017,9897,490,9407,2278,6474,1145
District of Columbia,11,2017,16596,854,15742,2796,11473,2327
Florida,12,2017,324412,64343,260069,67988,164094,92329
Georgia,13,2017,149451,8266,141185,30185,99766,19501
Hawaii,15,2017,13979,2395,11583,904,8880,4195
Idaho,16,2017,17289,595,16694,3341,12359,1589
Illinois,17,2017,156733,13079,143655,25674,101472,29586
Indiana,18,2017,75380,1955,73425,15340,54297,5744
Iowa,19,2017,28414,1036,27378,5188,20531,2695
Kansas,20,2017,27203,1041,26162,5897,18638,2668
Kentucky,21,2017,97649,2681,94968,17204,69077,11368
Louisiana,22,2017,99308,3247,96061,22837,65208,11263
Maine,23,2017,20745,504,20241,2644,16211,1890
Maryland,24,2017,73315,6698,66617,12808,48493,12015
Massachusetts,25,2017,103584,10648,92936,14513,65513,23558
Michigan,26,2017,164063,8258,155805,25895,116825,21344
Minnesota,27,2017,54656,5344,49312,8441,35009,11206
Mississippi,28,2017,65450,1851,63599,13609,44635,7206
Missouri,29,2017,76899,2368,74531,13582,55938,7379
Montana,30,2017,9889,410,9479,1589,7174,1126
Nebraska,31,2017,15503,850,14653,2512,11183,1809
Nevada,32,2017,33010,5985,27025,6820,19716,6473
New Hampshire,33,2017,10343,342,10001,1478,8021,845
New Jersey,34,2017,101860,15547,86313,16765,59239,25855
New Mexico,35,2017,35115,2601,32514,5708,23141,6266
New York,36,2017,358544,49377,309167,57524,197550,103470
North Carolina,37,2017,131725,5192,126534,25821,91224,14680
North Dakota,38,2017,4574,279,4294,678,3289,607
Ohio,39,2017,181111,6434,174677,30531,130163,20417
Oklahoma,40,2017,55318,1751,53566,11005,39233,5080
Oregon,41,2017,50918,3770,47148,7090,36048,7780
Pennsylvania,42,2017,212837,9820,203017,43315,138925,30596
Rhode Island,44,2017,18299,1282,17017,2681,12491,3126
South Carolina,45,2017,65547,2184,63363,12434,45627,7487
South Dakota,46,2017,8127,547,7579,1571,5385,1170
Tennessee,47,2017,102397,3307,99090,15418,75681,11298
Texas,48,2017,351568,35826,315742,89812,198262,63494
Utah,49,2017,18111,1206,16905,3223,12558,2330
Vermont,50,2017,8592,342,8251,985,6627,981
Virginia,51,2017,88766,7163,81603,15136,59797,13832
Washington,52,2017,88313,8264,80049,11034,59998,17281
West Virginia,54,2017,41981,657,41324,5265,32229,4487
Wisconsin,55,2017,68420,2323,66097,14689,46727,7004
Wyoming,56,2017,3591,83,3509,564,2732,295
Outlying area,,,,,,,,
Northern Mariana Islands,57,2017,625,63,562,186,348,91
Alabama,01,2018,90886,2229,88657,14897,66249,9740
Alaska,02,2018,6700,577,6123,738,4696,1266
Arizona,04,2018,69003,6891,62112,11827,43804,13373
Arkansas,05,2018,60259,1227,59032,17251,38362,4647
California,06,2018,803361,186828,616533,75419,408963,318979
Colorado,08,2018,41782,4492,37289,5737,28147,7897
Connecticut,09,2018,38745,3015,35730,5884,25669,7192
Delaware,10,2018,10283,510,9773,2229,6855,1199
District of Columbia,11,2018,16213,920,15294,2641,11033,2540
Florida,12,2018,329111,66268,262843,67463,165701,95946
Georgia,13,2018,150892,8569,142323,30044,100181,20668
Hawaii,15,2018,13824,2362,11462,839,8724,4261
Idaho,16,2018,17309,604,16705,3249,12377,1683
Illinois,17,2018,156530,13173,143358,24965,100873,30692
Indiana,18,2018,76633,2071,74561,15235,55210,6188
Iowa,19,2018,29114,1062,28053,5426,20847,2841
Kansas,20,2018,27793,1074,26718,5789,19204,2800
Kentucky,21,2018,98147,2752,95395,17018,69284,11845
Louisiana,22,2018,100490,3277,97212,22708,65899,11883
Maine,23,2018,20266,520,19746,2569,15688,2009
Maryland,24,2018,73225,6747,66477,12691,48185,12349
Massachusetts,25,2018,102905,11175,91730,14251,63885,24769
Michigan,26,2018,164075,8475,155600,25023,116370,22681
Minnesota,27,2018,55704,5462,50242,8430,35573,11701
Mississippi,28,2018,64482,1874,62607,13123,43851,7507
Missouri,29,2018,77412,2398,75015,13430,56304,7678
Montana,30,2018,9760,438,9322,1506,7058,1196
Nebraska,31,2018,15758,872,14887,2477,11372,1909
Nevada,32,2018,33421,6280,27141,6831,19765,6825
New Hampshire,33,2018,10047,334,9713,1398,7772,877
New Jersey,34,2018,103300,15801,87499,17102,59660,26538
New Mexico,35,2018,35085,2619,32466,5491,23100,6494
New York,36,2018,361659,49815,311844,56495,198998,106165
North Carolina,37,2018,131427,5263,126164,24987,91097,15343
North Dakota,38,2018,4472,270,4202,688,3177,607
Ohio,39,2018,183664,6762,176901,30766,130981,21917
Oklahoma,40,2018,55258,1800,53457,10578,39302,5377
Oregon,41,2018,52101,3885,48216,7018,36787,8297
Pennsylvania,42,2018,212816,10148,202668,42141,138396,32279
Rhode Island,44,2018,18522,1309,17213,2606,12630,3286
South Carolina,45,2018,66010,2186,63824,12123,46088,7799
South Dakota,46,2018,8046,568,7478,1524,5309,1212
Tennessee,47,2018,102192,3338,98854,15137,75308,11747
Texas,48,2018,354107,36218,317889,88804,199922,65381
Utah,49,2018,18632,1198,17433,3259,12964,2409
Vermont,50,2018,8516,344,8172,985,6511,1021
Virginia,51,2018,88601,7188,81413,14923,59481,14197
Washington,52,2018,89551,8347,81204,10944,60611,17996
West Virginia,54,2018,41878,660,41218,5045,32170,4662
Wisconsin,55,2018,67877,2363,65514,14250,46214,7413
Wyoming,56,2018,3707,87,3620,615,2766,326
Outlying area,,,,,,,,
Northern Mariana Islands,57,2018,628,65,562,183,351,93
Alabama,01,2019,70434,3306,67128,15398,47226,7810
Alaska,02,2019,4892,616,4277,564,3402,926
Arizona,04,2019,43862,4069,39794,9333,27167,7362
Arkansas,05,2019,38360,1647,36713,9932,24581,3847
California,06,2019,713587,183643,529944,64178,376130,273279
Colorado,08,2019,23859,2661,21199,3559,16051,4249
Connecticut,09,2019,23470,2309,21161,3609,15655,4207
Delaware,10,2019,5966,352,5614,1619,3666,681
District of Columbia,11,2019,10235,550,9685,2381,6518,1336
Florida,12,2019,186168,32999,153169,43018,95480,47670
Georgia,13,2019,87734,6085,81650,17963,57249,12522
Hawaii,15,2019,10702,2436,8267,809,6563,3330
Idaho,16,2019,9696,391,9305,2093,6835,769
Illinois,17,2019,121585,10650,110935,24489,76891,20205
Indiana,18,2019,45343,1387,43956,11198,31032,3114
Iowa,19,2019,18303,780,17524,3589,13058,1657
Kansas,20,2019,17422,826,16597,3757,11966,1700
Kentucky,21,2019,77786,2722,75064,14623,55025,8139
Louisiana,22,2019,64817,3476,61340,15077,41657,8082
