State,ANSI Code,Year,Total,Aged,Blind and DIsabled,Under 18,18-64,65 or older
Nebraska,31,2013,14372,683,13689,2626,10310,1436
Nevada,32,2013,27242,4654,22588,6193,16066,4984
New Hampshire,33,2013,10280,321,9959,1590,7961,729
New Jersey,34,2013,98142,14728,83414,17176,57327,23639
New Mexico,35,2013,33625,2552,31073,6380,21483,5761
New York,36,2013,409399,58495,350904,61058,231650,116691
North Carolina,37,2013,124027,5015,119012,28103,82619,13305
North Dakota,38,2013,4007,230,3777,599,2889,519
Ohio,39,2013,177273,5456,171817,34415,126613,16245
Oklahoma,40,2013,52879,1710,51169,11683,36697,4499
Oregon,41,2013,46770,3396,43374,7017,33318,6435
Pennsylvania,42,2013,215247,9295,205952,49427,139407,26414
Rhode Island,44,2013,17989,1180,16809,3090,12202,2697
South Carolina,45,2013,63097,2205,60891,13423,42952,6722
South Dakota,46,2013,7616,461,7155,1586,5003,1027
Tennessee,47,2013,99164,3263,95901,16472,72574,10118
Texas,48,2013,341395,34063,307332,93769,190201,57425
Utah,49,2013,17411,1078,16333,3674,11750,1987
Vermont,50,2013,8322,306,8016,1187,6304,831
Virginia,51,2013,81733,6925,74807,15149,53862,12722
Washington,52,2013,85869,7889,77980,11775,58866,15227
West Virginia,54,2013,42077,666,41410,5368,32788,3921
Wisconsin,55,2013,63701,2230,61471,14846,42906,5950
Wyoming,56,2013,3528,76,3452,647,2637,244
Outlying area,,,,,,,,
Northern Mariana Islands,57,2013,643,66,577,223,327,92
Alabama,01,2014,93376,2376,91000,18109,66558,8708
Alaska,02,2014,6366,600,5766,730,4503,1133
Arizona,04,2014,66366,6067,60300,13945,40947,11475
Arkansas,05,2014,60491,1248,59243,19155,37198,4137
California,06,2014,817219,185057,632162,86290,430394,300536
Colorado,08,2014,39932,3661,36271,6379,27120,6433
Connecticut,09,2014,35702,2691,33011,6092,23506,6104
Delaware,10,2014,9350,453,8897,2289,6059,1001
District of Columbia,11,2014,16333,762,15571,2749,11633,1951
Florida,12,2014,305132,55137,249994,70293,155628,79211
Georgia,13,2014,142070,7581,134489,30941,93850,17279
Hawaii,15,2014,14655,2549,12106,1049,9538,4068
Idaho,16,2014,16345,549,15796,3526,11464,1356
Illinois,17,2014,156021,12749,143272,27655,100936,27430
Indiana,18,2014,72464,1776,70687,16236,51401,4826
Iowa,19,2014,27155,960,26195,5321,19482,2352
Kansas,20,2014,26608,996,25612,6182,17990,2436
Kentucky,21,2014,100954,2597,98357,18478,71913,10562
Louisiana,22,2014,98441,3303,95138,23950,64158,10334
Maine,23,2014,19692,474,19218,2671,15343,1678
Maryland,24,2014,69192,6313,62879,12313,45979,10900
Massachusetts,25,2014,102391,9408,92983,15394,66220,20777
Michigan,26,2014,160054,7567,152487,27923,113827,18304
Minnesota,27,2014,53139,4912,48227,8909,34400,9831
Mississippi,28,2014,66681,1961,64720,15346,44490,6845
Missouri,29,2014,78271,2316,75955,15617,56060,6593
Montana,30,2014,9558,366,9192,1611,6973,973
Nebraska,31,2014,14810,754,14056,2569,10697,1545
Nevada,32,2014,28853,4975,23878,6564,16970,5319
New Hampshire,33,2014,10344,336,10008,1533,8046,764
New Jersey,34,2014,100791,15011,85780,17219,59300,24271
New Mexico,35,2014,33842,2587,31255,6164,21765,5913
New York,36,2014,360332,49273,311059,59400,201339,99593
North Carolina,37,2014,127056,5066,121990,28066,85407,13583
North Dakota,38,2014,4034,254,3780,605,2865,565
Ohio,39,2014,179732,5715,174017,33823,128691,17217
Oklahoma,40,2014,53100,1718,51382,11260,37227,4613
Oregon,41,2014,48366,3457,44909,7085,34571,6710
Pennsylvania,42,2014,214328,9442,204886,47413,139463,27452
Rhode Island,44,2014,17962,1181,16780,3035,12148,2779
South Carolina,45,2014,64278,2174,62104,13347,44062,6869
South Dakota,46,2014,7697,478,7219,1648,4996,1053
Tennessee,47,2014,100557,3258,97300,16275,73821,10461
Texas,48,2014,345934,34609,311325,94115,192710,59109
Utah,49,2014,17255,1135,16120,3355,11797,2103
Vermont,50,2014,8535,333,8202,1125,6530,880
Virginia,51,2014,85387,7066,78322,15824,56500,13064
Washington,52,2014,87344,7950,79394,11890,59679,15775
West Virginia,54,2014,42701,672,42029,5355,33273,4073
Wisconsin,55,2014,64810,2280,62530,14772,43788,6250
Wyoming,56,2014,3509,81,3428,622,2631,256
Outlying area,,,,,,,,
Northern Mariana Islands,57,2014,645,65,581,221,329,95
Alabama,01,2015,92530,2344,90185,17245,66343,8942
Alaska,02,2015,6530,609,5922,772,4583,1175
Arizona,04,2015,67465,6351,61113,13360,42071,12033
Arkansas,05,2015,60355,1253,59102,18605,37533,4217
California,06,2015,818666,186865,631800,83249,428668,306749
Colorado,08,2015,39940,3891,36049,6308,26822,6809
Connecticut,09,2015,35913,2782,33131,5853,23678,6382
Delaware,10,2015,9564,463,9101,2307,6210,1048
District of Columbia,11,2015,16799,823,15976,2806,11815,2177
Florida,12,2015,314496,59646,254851,69884,159457,85155
Georgia,13,2015,145446,7868,137578,31449,95900,18096
Hawaii,15,2015,14307,2487,11820,971,9205,4132
Idaho,16,2015,16798,574,16223,3490,11858,1450
Illinois,17,2015,157395,13003,144391,27086,101860,28449
Indiana,18,2015,74011,1841,72169,16249,52676,5086
Iowa,19,2015,27547,987,26560,5222,19880,2446
Kansas,20,2015,26634,1015,25620,5988,18118,2528
Kentucky,21,2015,100462,2635,97827,17908,71697,10857
Louisiana,22,2015,98165,3288,94877,23162,64387,10616
Maine,23,2015,19892,479,19413,2737,15426,1729
Maryland,24,2015,70908,6504,64404,12704,46834,11370
Massachusetts,25,2015,102783,9858,92925,15229,65737,21817
Michigan,26,2015,160937,7854,153082,26921,114630,19386
Minnesota,27,2015,53418,5083,48335,8918,34128,10372
Mississippi,28,2015,65641,1900,63742,14855,43864,6922
Missouri,29,2015,77016,2302,74715,14468,55746,6803
Montana,30,2015,9877,384,9493,1676,7173,1028
Nebraska,31,2015,15028,788,14240,2580,10821,1627
Nevada,32,2015,30876,5399,25477,6905,18189,5781
