Year,Average Annual Unemployment Rate,Labor Force Percentage Change,Total Employment Percentage Change,GDP Percentage Change,Average Annual Nominal Interest Rate,Average Annual Real Interest Rate,Covered workers,OASI Beneficiaries,OASDI Beneficiaries,Covered workers per OASDI beneficiary,OASDI beneficiaries per 100 covered workers,Total Fertility Rate,"Age-sex-adjusted death rate per 100,000","Age-sex-adjusted death rate per 100,000 (Under 65)","Age-sex-adjusted death rate per 100,000 (65 and over)",LPR Immigration,LPR Emigration,Net LPR Change,Net Temporary or Unlawful Immigration Change,Income rate (OASDI),Cost rate (OASDI),Balance (OASDI),Income rate (HI),Cost rate (HI),Balance (HI),Worker (Retired workers & auxiliaries),Spouse (Retired workers & auxiliaries),Child (Retired workers & auxiliaries),Widow-widower (Survivors),Mother-father (Survivors),Child (Survivors),Parent (Survivors),Total,Non-interest income (K),Interest income (K),Total income (K),Cost (K),Reserves at end of year (K),Life Expectancy at Birth,Life Expectancy at Age 65,Ratio of OASDI Taxable Payroll to GDP,OASI Fund Ratio,DI Fund Ratio,OASDI Fund Ratio,Covid_dummy,LE65_x_Covid
1950.0,,,,,,,48280.0,2930.0,2930.0,16.5,6.0,3.03,1561.9,570.2,8173.7,227.0,57.0,171.0,0.0,,,,,,,,,,,,,,,,,,,,68.35,13.95,,,,,0,0.0
1951.0,,,,,,,57933.0,4034.0,4034.0,14.4,7.0,3.2,1548.4,565.5,8101.4,236.0,59.0,177.0,0.0,,,,,,,,,,,,,,,,,,,,68.55000000000001,14.0,,,,,0,0.0
1952.0,,,,,,,59526.0,4594.0,4594.0,13.0,8.0,3.29,1518.8,558.8,7919.5,218.0,54.0,163.0,0.0,,,,,,,,,,,,,,,,,,,,68.69999999999999,14.15,,,,,0,0.0
1953.0,,,,,,,60554.0,5574.0,5574.0,10.9,9.0,3.35,1510.5,545.5,7944.7,189.0,47.0,142.0,0.0,,,,,,,,,,,,,,,,,,,,69.0,14.100000000000001,,,,,0,0.0
1954.0,,,,,,,59395.0,6469.0,6469.0,9.2,11.0,3.46,1433.4,514.9,7557.2,223.0,56.0,167.0,0.0,,,,,,,,,,,,,,,,,,,,69.7,14.45,,,,,0,0.0
1955.0,,,,,,,65066.0,7564.0,7564.0,8.6,12.0,3.5,1453.8,508.2,7758.4,280.0,70.0,210.0,0.0,,,,,,,,,,,,,,,,,,,,69.75,14.35,,,,,0,0.0
1956.0,,,,,,,67595.0,8374.0,8374.0,8.1,12.0,3.6,1455.4,506.8,7780.4,324.0,81.0,243.0,0.0,,,,,,,,,,,,,,,,,,,,69.80000000000001,14.35,,,,,0,0.0
1957.0,,,,,,,70679.0,10342.0,10342.0,6.8,15.0,3.68,1481.6,516.6,7916.0,290.0,73.0,218.0,0.0,,,,,,,,,,,,,,,,,,,,69.6,14.25,,,,,0,0.0
1958.0,,,,,,,69826.0,11705.0,11905.0,5.9,17.0,3.63,1467.9,506.1,7880.1,257.0,64.0,193.0,0.0,,,,,,,,,,,,,,,,,,,,69.75,14.3,,,,,0,0.0
1959.0,,,,,,,71432.0,12820.0,13181.0,5.4,18.0,3.64,1440.8,499.2,7719.3,263.0,66.0,197.0,0.0,,,,,,,,,,,,,,,,,,,,70.0,14.5,,,,,0,0.0
1960.0,5.5,1.9,1.7,2.6,2.9,0.9,72371.0,13740.0,14262.0,5.1,20.0,3.61,1454.3,503.2,7795.6,268.0,67.0,201.0,0.0,,,,,,,,,,,,,,,,,,,,69.95,14.4,,,,,0,0.0
1961.0,6.7,1.1,0.0,2.6,3.8,1.9,72599.0,14726.0,15624.0,4.6,22.0,3.56,1421.0,488.0,7642.0,278.0,69.0,208.0,0.0,,,,,,,,,,,,,,,,,,,,70.35,14.600000000000001,,,,,0,0.0
1962.0,5.6,0.2,1.8,6.1,3.9,2.8,74190.0,16129.0,17280.0,4.3,23.0,3.42,1448.3,493.7,7813.3,295.0,74.0,221.0,0.0,,,,,,,,,,,,,,,,,,,,70.2,14.45,,,,,0,0.0
1963.0,5.6,1.7,1.4,4.4,3.9,2.5,75454.0,17226.0,18608.0,4.1,25.0,3.3,1472.7,501.3,7949.1,300.0,75.0,224.0,0.0,,,,,,,,,,,,,,,,,,,,70.0,14.35,,,,,0,0.0
1964.0,5.2,1.8,2.2,5.8,4.1,2.6,77400.0,17954.0,19470.0,4.0,25.0,3.17,1426.0,496.5,7622.9,294.0,74.0,221.0,0.0,,,,,,,,,,,,,,,,,,,,70.25,14.65,,,,,0,0.0
